ITEM TYPES
================================================================================

active_ingredient  |  Active Pharmaceutical Ingredient  |  category=ingredients  base_price=
bass  |  Bass  |  category=seafood  base_price=
battery_cell  |  Battery Cell  |  category=components  base_price=
bearded_collie  |  Bearded Collie  |  category=livestock  base_price=
beauceron  |  Beauceron  |  category=livestock  base_price=
beef  |  Beef  |  category=meat  base_price=
beer  |  Craft Beer  |  category=alcohol  base_price=
bees  |  Bees  |  category=livestock  base_price=
beeswax  |  Beeswax  |  category=industrial  base_price=
belgian_laekenois  |  Belgian Laekenois  |  category=livestock  base_price=
belgian_malinois  |  Belgian Malinois  |  category=livestock  base_price=
belgian_shepherd  |  Belgian Shepherd  |  category=livestock  base_price=
belgian_tervuren  |  Belgian Tervuren  |  category=livestock  base_price=
bergamasco_shepherd  |  Bergamasco Shepherd  |  category=livestock  base_price=
berrichon_du_cher  |  Berrichon du Cher  |  category=livestock  base_price=
bio_fuel  |  Bio Fuel  |  category=energy  base_price=
biotech_compound  |  Biotech Compound  |  category=ingredients  base_price=
birthday_candle  |  Birthday Candles  |  category=home_goods  base_price=
black_pearl  |  Black Pearl  |  category=luxury  base_price=
black_welsh_mountain_sheep  |  Black Welsh Mountain  |  category=livestock  base_price=
blackstrap_molasses  |  Blackstrap Molasses  |  category=sweeteners  base_price=
blessed_sheep  |  Blessed Sheep  |  category=luxury  base_price=
blood_bag  |  Blood Bag  |  category=health  base_price=
blood_pressure_med  |  Blood Pressure Med  |  category=health  base_price=
blouse  |  Silk Blouse  |  category=apparel  base_price=
blue_crab  |  Blue Crab  |  category=shellfish  base_price=
bluefaced_leicester  |  Bluefaced Leicester  |  category=livestock  base_price=
bluefin_tuna  |  Bluefin Tuna  |  category=seafood  base_price=
bluefin_tuna_sashimi  |  Bluefin Tuna Sashimi  |  category=seafood_product  base_price=
bluefish  |  Bluefish  |  category=seafood  base_price=
boat  |  Motorboat  |  category=vehicle  base_price=
body_armor  |  Body Armor  |  category=military  base_price=
body_scanner  |  Body Scanner  |  category=health  base_price=
bomber_jacket  |  Bomber Jacket  |  category=apparel  base_price=
border_collie  |  Border Collie  |  category=livestock  base_price=
border_leicester_sheep  |  Border Leicester  |  category=livestock  base_price=
bottle  |  Glass Bottles  |  category=packaging  base_price=
bottled_water  |  Bottled Water  |  category=beverages  base_price=
bouvier_des_flandres  |  Bouvier des Flandres  |  category=livestock  base_price=
bra  |  Bra  |  category=apparel  base_price=
brake_pads  |  Brake Pads  |  category=vehicle_parts  base_price=
brandy  |  Brandy  |  category=alcohol  base_price=
brass  |  Brass  |  category=metals  base_price=
bread  |  Artisan Bread  |  category=baked_goods  base_price=
brownie  |  Fudge Brownie  |  category=baked_goods  base_price=
bulk_grocery_pallet  |  Bulk Grocery Pallet  |  category=retail_shopping  base_price=
bunker_fuel  |  Bunker Fuel  |  category=fuel  base_price=
burger  |  Burger  |  category=prepared_food  base_price=
burlap  |  Burlap  |  category=textiles  base_price=
burley_leaf  |  Burley Tobacco Leaf  |  category=crops  base_price=
burrito  |  Burrito  |  category=prepared_food  base_price=
bus_chassis  |  Bus Chassis  |  category=vehicle_parts  base_price=
bus_engine  |  Bus Engine  |  category=vehicle_parts  base_price=
bus_seats  |  Bus Seats  |  category=vehicle_parts  base_price=
butter  |  Butter  |  category=dairy  base_price=
buttons  |  Buttons  |  category=textiles  base_price=
calamari  |  Calamari Rings  |  category=seafood_product  base_price=
cameroon_leaf  |  Cameroon Leaf  |  category=crops  base_price=
cameroon_sheep  |  Cameroon Sheep  |  category=livestock  base_price=
canary  |  Canary  |  category=livestock  base_price=
candy_bar  |  Chocolate Bar  |  category=confectionery  base_price=
cane  |  Sugar Cane  |  category=crops  base_price=
canned_anchovies  |  Canned Anchovies  |  category=canned_goods  base_price=
canned_clams  |  Canned Clams  |  category=canned_goods  base_price=
canned_crab  |  Canned Crab  |  category=canned_goods  base_price=
canned_mackerel  |  Canned Mackerel  |  category=canned_goods  base_price=
canned_oysters  |  Canned Oysters  |  category=canned_goods  base_price=
canned_salmon  |  Canned Salmon  |  category=canned_goods  base_price=
canned_sardines  |  Canned Sardines  |  category=canned_goods  base_price=
canned_tuna  |  Canned Tuna  |  category=canned_goods  base_price=
cappuccino  |  Cappuccino  |  category=beverages  base_price=
car  |  Sedan  |  category=vehicle  base_price=
car_battery  |  Car Battery  |  category=vehicle_parts  base_price=
car_seat  |  Vehicle Seat  |  category=vehicle_parts  base_price=
caramel  |  Caramel  |  category=sweeteners  base_price=
cardboard  |  Cardboard  |  category=industrial  base_price=
cardboard_box  |  Cardboard Box  |  category=packaging  base_price=
cardigan_welsh_corgi  |  Cardigan Welsh Corgi  |  category=livestock  base_price=
cargo_freighter  |  Cargo Freighter  |  category=vehicles  base_price=
cargo_manifest  |  Cargo Manifest  |  category=vehicles  base_price=
cargo_plane  |  Cargo Plane  |  category=vehicles  base_price=
carpathian_shepherd  |  Carpathian Shepherd Dog  |  category=livestock  base_price=
carrot_sack  |  Carrot Sack  |  category=packaging  base_price=
carrots  |  Carrots  |  category=produce  base_price=
cashmere_sheep  |  Cashmere Sheep  |  category=livestock  base_price=
casino_chips  |  Casino Chips  |  category=components  base_price=
casino_floor_credit  |  Casino Floor Credit  |  category=retail_entertainment  base_price=
cast_material  |  Cast Material  |  category=industrial  base_price=
catahoula_leopard_dog  |  Catahoula Leopard Dog  |  category=livestock  base_price=
catalan_sheepdog  |  Catalan Sheepdog  |  category=livestock  base_price=
catered_banquet_service  |  Catered Banquet Service  |  category=services  base_price=
catfish  |  Catfish  |  category=seafood  base_price=
cavendish_leaf  |  Cavendish Leaf  |  category=crops  base_price=
cavendish_tobacco  |  Cavendish Tobacco  |  category=cured_tobacco  base_price=
caviar  |  Caviar  |  category=industrial  base_price=
cell_door  |  Cell Door  |  category=industrial  base_price=
cement  |  Cement  |  category=materials  base_price=
ceramic  |  Ceramics  |  category=industrial  base_price=
champagne  |  Champagne  |  category=alcohol  base_price=
championship_trophy  |  Championship Trophy  |  category=vehicles  base_price=
charollais_sheep  |  Charollais Sheep  |  category=livestock  base_price=
charter_bus  |  Charter Bus  |  category=vehicles  base_price=
chassis  |  Vehicle Chassis  |  category=vehicle_parts  base_price=
cheap_luggage  |  Budget Luggage  |  category=accessories  base_price=
cheese  |  Cheese  |  category=dairy  base_price=
cheesecake  |  Cheesecake  |  category=prepared_food  base_price=
chemotherapy_drug  |  Chemotherapy Drug  |  category=health  base_price=
cherries  |  Cherries  |  category=produce  base_price=
cherry_essential_oil  |  Cherry Essential Oil  |  category=essential_oils  base_price=
cherry_pie  |  Cherry Pie  |  category=prepared_food  base_price=
cherry_seeds  |  Cherry Seeds  |  category=seeds  base_price=
cheviot_sheep  |  Cheviot Sheep  |  category=livestock  base_price=
chewing_tobacco  |  Chewing Tobacco  |  category=tobacco  base_price=
chicken  |  Chicken  |  category=livestock  base_price=
chicken_nuggets  |  Chicken Nuggets  |  category=prepared_food  base_price=
chimpanzee  |  Chimpanzee  |  category=industrial  base_price=
chitin  |  Chitin  |  category=industrial  base_price=
chocolate  |  Chocolate  |  category=confectionery  base_price=
chocolate_cake  |  Chocolate Cake  |  category=prepared_food  base_price=
churchill_cigar  |  Churchill Cigar  |  category=tobacco  base_price=
cider  |  Hard Cider  |  category=alcohol  base_price=
cider_soup  |  Apple Cider Soup  |  category=prepared_food  base_price=
cigarette  |  Cigarettes  |  category=tobacco  base_price=
cigarillo  |  Cigarillo  |  category=tobacco  base_price=
cinnamon  |  Cinnamon  |  category=crops  base_price=
cinnamon_roll  |  Cinnamon Roll  |  category=baked_goods  base_price=
circuit_board  |  Circuit Board  |  category=components  base_price=
city_bus  |  City Bus  |  category=vehicles  base_price=
city_nav_etf_shares  |  City NAV ETF Shares  |  category=financial  base_price=
clams  |  Clams  |  category=shellfish  base_price=
cloud_storage_unit  |  Cloud Storage Unit  |  category=components  base_price=
clove_cigarette  |  Clove Cigarettes  |  category=tobacco  base_price=
clownfish  |  Clownfish  |  category=industrial  base_price=
clun_forest_sheep  |  Clun Forest Sheep  |  category=livestock  base_price=
coal  |  Coal  |  category=energy  base_price=
cocktail_service  |  Cocktail Service  |  category=services  base_price=
cocoa_beans  |  Cocoa Beans  |  category=produce  base_price=
cocoa_butter  |  Cocoa Butter  |  category=ingredients  base_price=
cocoa_essential_oil  |  Cocoa Essential Oil  |  category=essential_oils  base_price=
cocoa_powder  |  Cocoa Powder  |  category=ingredients  base_price=
cocoa_seeds  |  Cocoa Seeds  |  category=seeds  base_price=
cod  |  Cod  |  category=seafood  base_price=
coffee_beans  |  Coffee Beans  |  category=crops  base_price=
coffee_essential_oil  |  Coffee Essential Oil  |  category=essential_oils  base_price=
coffee_seeds  |  Coffee Seeds  |  category=seeds  base_price=
coley  |  Coley  |  category=seafood  base_price=
collagen_powder  |  Marine Collagen Powder  |  category=health  base_price=
columbia_sheep  |  Columbia Sheep  |  category=livestock  base_price=
combat_helmet  |  Combat Helmet  |  category=military  base_price=
combat_simulator  |  Combat Simulator  |  category=military  base_price=
comforter  |  Down Comforter  |  category=home_goods  base_price=
commissary_snacks  |  Commissary Snacks  |  category=industrial  base_price=
composite_alloy  |  Composite Alloy  |  category=metals  base_price=
compute_credit  |  Compute Credit  |  category=components  base_price=
concert_stage  |  Concert Stage  |  category=industrial  base_price=
conch  |  Conch  |  category=shellfish  base_price=
conch_shell  |  Conch Shell  |  category=accessories  base_price=
concrete  |  Concrete  |  category=materials  base_price=
condensed_milk  |  Condensed Milk  |  category=dairy  base_price=
conference_pass  |  Conference Pass  |  category=retail_entertainment  base_price=
connecticut_broadleaf  |  Connecticut Broadleaf  |  category=crops  base_price=
connecticut_shade_leaf  |  Connecticut Shade Leaf  |  category=crops  base_price=
consulting_contract  |  Consulting Contract  |  category=retail_service  base_price=
consumer_electronics_bundle  |  Consumer Electronics Bundle  |  category=retail_shopping  base_price=
cookie  |  Cookie  |  category=baked_goods  base_price=
copper  |  Copper  |  category=metals  base_price=
copper_ore  |  Copper Ore  |  category=ore  base_price=
copper_wire  |  Copper Wire  |  category=metals  base_price=
corn  |  Corn  |  category=crops  base_price=
corn_essential_oil  |  Corn Essential Oil  |  category=essential_oils  base_price=
corn_seeds  |  Corn Seeds  |  category=seeds  base_price=
corn_syrup  |  Corn Syrup  |  category=sweeteners  base_price=
corojo_leaf  |  Corojo Leaf  |  category=crops  base_price=
corona_cigar  |  Corona Cigar  |  category=tobacco  base_price=
corriedale  |  Corriedale  |  category=livestock  base_price=
cotswold_sheep  |  Cotswold  |  category=livestock  base_price=
cotton  |  Cotton  |  category=textiles  base_price=
cotton_essential_oil  |  Cotton Essential Oil  |  category=fuel  base_price=
cotton_seeds  |  Cotton Seeds  |  category=seeds  base_price=
cough_syrup  |  Cough Syrup  |  category=health  base_price=
counseling_materials  |  Counseling Materials  |  category=industrial  base_price=
cow  |  Cow  |  category=livestock  base_price=
coworking_membership  |  Coworking Membership  |  category=retail_service  base_price=
crab_meat  |  Crab Meat  |  category=seafood_product  base_price=
crawfish  |  Crawfish  |  category=shellfish  base_price=
cream  |  Cream  |  category=dairy  base_price=
criollo_leaf  |  Criollo Leaf  |  category=crops  base_price=
croatian_sheepdog  |  Croatian Sheepdog  |  category=livestock  base_price=
crocodile  |  Crocodile  |  category=industrial  base_price=
croissant  |  Butter Croissant  |  category=baked_goods  base_price=
cruise_ship  |  Cruise Ship  |  category=vehicles  base_price=
crutches  |  Crutches  |  category=industrial  base_price=
cuban_style_cigar  |  Cuban-Style Cigar  |  category=tobacco  base_price=
curriculum_package  |  Curriculum Package  |  category=industrial  base_price=
customs_clearance_service  |  Customs Clearance Service  |  category=retail_service  base_price=
dab  |  Dab  |  category=seafood  base_price=
damara_sheep  |  Damara Sheep  |  category=livestock  base_price=
day_pass  |  Theme Park Day Pass  |  category=retail_entertainment  base_price=
defibrillator  |  Defibrillator  |  category=industrial  base_price=
delivery_truck  |  Delivery Truck  |  category=vehicles  base_price=
desktop_computer  |  Desktop Computer  |  category=components  base_price=
destroyer  |  Destroyer  |  category=vehicles  base_price=
diesel  |  Diesel Fuel  |  category=energy  base_price=
diploma_certificate  |  Diploma Certificate  |  category=industrial  base_price=
disposable_utensils  |  Disposable Utensils  |  category=industrial  base_price=
dissection_kit  |  Dissection Kit  |  category=industrial  base_price=
dive_vessel  |  Dive Vessel  |  category=vehicle  base_price=
dog_tags  |  Dog Tags  |  category=industrial  base_price=
dokha  |  Dokha  |  category=tobacco  base_price=
dokha_leaf  |  Dokha Leaf  |  category=crops  base_price=
dolphin  |  Dolphin  |  category=industrial  base_price=
donut  |  Glazed Donut  |  category=baked_goods  base_price=
dorset_horn_sheep  |  Dorset Horn  |  category=livestock  base_price=
dough  |  Raw Dough  |  category=baked_goods  base_price=
dredger  |  Shellfish Dredger  |  category=vehicle  base_price=
dress  |  Dress  |  category=apparel  base_price=
dried_anchovies  |  Dried Anchovies  |  category=seafood_product  base_price=
dried_squid  |  Dried Squid  |  category=seafood_product  base_price=
drinking_water  |  Drinking Water  |  category=industrial  base_price=
drone  |  Drone  |  category=components  base_price=
duck  |  Duck  |  category=livestock  base_price=
duck_confit  |  Duck Confit  |  category=prepared_food  base_price=
duck_meat  |  Duck Meat  |  category=meat  base_price=
dungeness_crab  |  Dungeness Crab  |  category=shellfish  base_price=
duty_free_spirits  |  Duty-Free Spirits  |  category=retail_shopping  base_price=
dye  |  Dye  |  category=ingredients  base_price=
eagle  |  Eagle  |  category=industrial  base_price=
eel  |  Eel  |  category=seafood  base_price=
eggs  |  Eggs  |  category=food  base_price=
elephant  |  Elephant  |  category=industrial  base_price=
encryption_device  |  Encryption Device  |  category=industrial  base_price=
encyclopedia  |  Encyclopedia  |  category=media  base_price=
energy  |  Energy  |  category=energy  base_price=
energy_etf_shares  |  Energy ETF Shares  |  category=financial  base_price=
engine  |  Combustion Engine  |  category=vehicle_parts  base_price=
engine_block  |  Engine Block  |  category=vehicle_parts  base_price=
english_blend_pipe_tobacco  |  English Blend Pipe Tobacco  |  category=tobacco  base_price=
english_shepherd  |  English Shepherd  |  category=livestock  base_price=
enterprise_software_suite  |  Enterprise Software Suite  |  category=components  base_price=
envelope  |  Envelope  |  category=packaging  base_price=
espresso  |  Espresso  |  category=beverages  base_price=
event_supply_kit  |  Event Supply Kit  |  category=industrial  base_price=
exhaust  |  Exhaust System  |  category=vehicle_parts  base_price=
explosive_ordnance  |  Explosive Ordnance  |  category=industrial  base_price=
feathers  |  Feathers  |  category=textiles  base_price=
feeding_station  |  Feeding Station  |  category=industrial  base_price=
ferry  |  Ferry  |  category=vehicles  base_price=
fiberglass  |  Fiberglass  |  category=industrial  base_price=
fighter_jet  |  Fighter Jet  |  category=vehicles  base_price=
film_reel  |  Film Reel  |  category=media  base_price=
finnish_lapphund  |  Finnish Lapphund  |  category=livestock  base_price=
finnsheep  |  Finnsheep  |  category=livestock  base_price=
fire_cured_tobacco  |  Fire-Cured Tobacco  |  category=cured_tobacco  base_price=
fire_truck  |  Fire Truck  |  category=vehicles  base_price=
firing_range  |  Firing Range  |  category=industrial  base_price=
fish_and_chips  |  Fish and Chips  |  category=prepared_food  base_price=
fish_emulsion  |  Fish Emulsion Fertilizer  |  category=industrial  base_price=
fish_fillet  |  Fish Fillet  |  category=seafood_product  base_price=
fish_fingers  |  Fish Fingers  |  category=seafood_product  base_price=
fish_meal  |  Fish Meal  |  category=ingredients  base_price=
fish_oil  |  Fish Oil  |  category=health  base_price=
fish_sauce  |  Fish Sauce  |  category=condiments  base_price=
flake_pipe_tobacco  |  Flake Pipe Tobacco  |  category=tobacco  base_price=
flamingo  |  Flamingo  |  category=industrial  base_price=
flounder  |  Flounder  |  category=seafood  base_price=
flour  |  Flour  |  category=ingredients  base_price=
flue_cured_tobacco  |  Flue-Cured Tobacco  |  category=cured_tobacco  base_price=
food_tray  |  Food Tray  |  category=industrial  base_price=
freight_car  |  Freight Car  |  category=vehicles  base_price=
freight_container  |  Freight Container  |  category=industrial  base_price=
freight_manifest  |  Freight Manifest  |  category=industrial  base_price=
freshwater_boat  |  Freshwater Fishing Boat  |  category=vehicle  base_price=
fried_rice  |  Fried Rice  |  category=industrial  base_price=
fries  |  Fries  |  category=industrial  base_price=
fries_melkschaap  |  Fries Melkschaap  |  category=livestock  base_price=
frosting  |  Frosting  |  category=baked_goods  base_price=
fruit_filling  |  Fruit Filling  |  category=baked_goods  base_price=
fudge  |  Chocolate Fudge  |  category=confectionery  base_price=
fuel_tank  |  Fuel Tank  |  category=vehicle_parts  base_price=
garbage_truck  |  Garbage Truck  |  category=vehicles  base_price=
gasoline  |  Gasoline  |  category=energy  base_price=
gauze  |  Gauze  |  category=industrial  base_price=
ged_materials  |  Ged Materials  |  category=industrial  base_price=
gelatin  |  Gelatin  |  category=ingredients  base_price=
german_shepherd  |  German Shepherd  |  category=livestock  base_price=
gin  |  London Dry Gin  |  category=alcohol  base_price=
giraffe  |  Giraffe  |  category=industrial  base_price=
glass  |  Glass  |  category=industrial  base_price=
glue  |  Industrial Glue  |  category=industrial  base_price=
goal_post  |  Goal Post  |  category=industrial  base_price=
golden_burley_leaf  |  Golden Burley Leaf  |  category=crops  base_price=
golden_pearl  |  Golden Pearl  |  category=luxury  base_price=
gorilla  |  Gorilla  |  category=industrial  base_price=
grape_essential_oil  |  Grape Essential Oil  |  category=essential_oils  base_price=
grape_seeds  |  Grape Seeds  |  category=seeds  base_price=
grapes  |  Wine Grapes  |  category=produce  base_price=
grass  |  Grass  |  category=crops  base_price=
greek_basma_leaf  |  Greek Basma Oriental Leaf  |  category=crops  base_price=
grenade  |  Grenade  |  category=military  base_price=
grilled_salmon  |  Grilled Salmon  |  category=prepared_food  base_price=
ground_coffee  |  Ground Coffee  |  category=ingredients  base_price=
gulf_coast_native_sheep  |  Gulf Coast Native Sheep  |  category=livestock  base_price=
gummy_bears  |  Gummy Bears  |  category=confectionery  base_price=
gurnard  |  Gurnard  |  category=seafood  base_price=
gyro  |  Gyro  |  category=industrial  base_price=
habano_leaf  |  Habano Leaf  |  category=crops  base_price=
habitat_landscape  |  Habitat Landscape  |  category=industrial  base_price=
haddock  |  Haddock  |  category=seafood  base_price=
halibut  |  Halibut  |  category=seafood  base_price=
halibut_steak  |  Halibut Steak  |  category=seafood_product  base_price=
handcuffs  |  Handcuffs  |  category=industrial  base_price=
hard_candy  |  Hard Candy  |  category=confectionery  base_price=
headlights  |  Headlight Assembly  |  category=vehicle_parts  base_price=
heating_oil  |  Heating Oil  |  category=metals  base_price=
helicopter  |  Helicopter  |  category=vehicles  base_price=
herring  |  Herring  |  category=seafood  base_price=
hippo  |  Hippo  |  category=industrial  base_price=
honey  |  Honey  |  category=sweeteners  base_price=
hookah_tobacco  |  Hookah Tobacco  |  category=tobacco  base_price=
hops  |  Hops  |  category=crops  base_price=
horse  |  Horse  |  category=livestock  base_price=
hospital_bed  |  Hospital Bed  |  category=health  base_price=
hospitality_linen_set  |  Hospitality Linen Set  |  category=health  base_price=
hot_chocolate  |  Hot Chocolate  |  category=beverages  base_price=
hot_dog  |  Hot Dog  |  category=industrial  base_price=
hull  |  Boat Hull  |  category=vehicle_parts  base_price=
humvee  |  Humvee  |  category=industrial  base_price=
hvac_unit  |  Hvac Unit  |  category=industrial  base_price=
hygiene_kit  |  Hygiene Kit  |  category=industrial  base_price=
ice_cream  |  Ice Cream  |  category=dairy  base_price=
iced_tea  |  Iced Tea  |  category=beverages  base_price=
icelandic_sheep  |  Icelandic Sheep  |  category=livestock  base_price=
icelandic_sheepdog  |  Icelandic Sheepdog  |  category=livestock  base_price=
ile_de_france_sheep  |  Île-de-France Sheep  |  category=livestock  base_price=
imitation_crab  |  Imitation Crab Sticks  |  category=seafood_product  base_price=
incarceration_contract  |  Incarceration Contract  |  category=retail_prison  base_price=
industrial_robot  |  Industrial Robot  |  category=components  base_price=
ink  |  Printing Ink  |  category=industrial  base_price=
inmate_jumpsuit  |  Inmate Jumpsuit  |  category=apparel  base_price=
institutional_furniture_set  |  Institutional Furniture Set  |  category=industrial  base_price=
insulin  |  Insulin  |  category=health  base_price=
iron  |  Iron  |  category=metals  base_price=
iron_ore  |  Iron Ore  |  category=ore  base_price=
isinglass  |  Isinglass  |  category=ingredients  base_price=
iv_bag  |  Iv Bag  |  category=industrial  base_price=
iv_pump  |  Iv Pump  |  category=industrial  base_price=
jacob_sheep  |  Jacob Sheep  |  category=livestock  base_price=
jam  |  Jam  |  category=sweeteners  base_price=
jar  |  Glass Jars  |  category=packaging  base_price=
jelly  |  Jelly  |  category=sweeteners  base_price=
jellyfish  |  Jellyfish  |  category=industrial  base_price=
jet_fuel  |  Jet Fuel  |  category=fuel  base_price=
jet_fuel_additive  |  Jet Fuel Additive  |  category=fuel  base_price=
jewelry  |  Jewelry  |  category=accessories  base_price=
jumbotron  |  Jumbotron  |  category=industrial  base_price=
juniper_berries  |  Juniper Berries  |  category=crops  base_price=
kangaroo  |  Kangaroo  |  category=industrial  base_price=
karakul_sheep  |  Karakul Sheep  |  category=livestock  base_price=
ketchup  |  Ketchup  |  category=condiments  base_price=
koala  |  Koala  |  category=industrial  base_price=
lab_equipment  |  Lab Equipment  |  category=industrial  base_price=
lab_kit  |  Lab Kit  |  category=industrial  base_price=
lacaune_sheep  |  Lacaune Sheep  |  category=livestock  base_price=
lager  |  Lager  |  category=alcohol  base_price=
lamb_meat  |  Lamb Meat  |  category=meat  base_price=
land_bank_shares  |  Land Bank Shares  |  category=financial  base_price=
langoustine  |  Langoustine  |  category=shellfish  base_price=
lapponian_herder  |  Lapponian Herder  |  category=livestock  base_price=
laptop  |  Laptop  |  category=industrial  base_price=
lard  |  Lard  |  category=industrial  base_price=
latakia_leaf  |  Latakia Leaf  |  category=crops  base_price=
latte  |  Caffè Latte  |  category=beverages  base_price=
law_book  |  Law Book  |  category=media  base_price=
lcd_panel  |  Lcd Panel  |  category=industrial  base_price=
lead  |  Lead  |  category=metals  base_price=
lead_ore  |  Lead Ore  |  category=ore  base_price=
leather  |  Leather  |  category=textiles  base_price=
leggings  |  Leggings  |  category=apparel  base_price=
leicester_longwool  |  Leicester Longwool  |  category=livestock  base_price=
lettuce  |  Lettuce  |  category=produce  base_price=
license_plate_batch  |  License Plate Batch  |  category=services  base_price=
licorice  |  Licorice  |  category=confectionery  base_price=
lighting_rig  |  Lighting Rig  |  category=metals  base_price=
lincoln_longwool  |  Lincoln Longwool  |  category=livestock  base_price=
lincoln_sheep  |  Lincoln  |  category=livestock  base_price=
lion  |  Lion  |  category=industrial  base_price=
livestock_product_supply  |  Livestock Product Supply  |  category=livestock  base_price=
lobster  |  Lobster  |  category=shellfish  base_price=
lobster_bisque  |  Lobster Bisque  |  category=prepared_food  base_price=
lobster_boat  |  Lobster Boat  |  category=vehicle  base_price=
lobster_meat  |  Lobster Meat  |  category=seafood_product  base_price=
locomotive  |  Locomotive  |  category=vehicles  base_price=
locomotive_engine  |  Locomotive Engine  |  category=vehicle_parts  base_price=
lollipop  |  Lollipop  |  category=confectionery  base_price=
longliner  |  Long-liner  |  category=vehicle  base_price=
lotion  |  Body Lotion  |  category=personal_care  base_price=
lumber  |  Lumber  |  category=industrial  base_price=
luxury_car  |  Luxury Sedan  |  category=vehicle  base_price=
mackerel  |  Mackerel  |  category=seafood  base_price=
magazine  |  Lifestyle Magazine  |  category=media  base_price=
mahi_mahi  |  Mahi-Mahi  |  category=seafood  base_price=
malt  |  Malted Barley  |  category=ingredients  base_price=
manta_ray  |  Manta Ray  |  category=industrial  base_price=
marine_engine  |  Marine Engine  |  category=vehicle_parts  base_price=
marine_fuel  |  Marine Fuel  |  category=fuel  base_price=
marshmallow  |  Marshmallows  |  category=confectionery  base_price=
medical_scanner  |  Medical Scanner  |  category=health  base_price=
medicine  |  Antibiotics  |  category=health  base_price=
memory_module  |  Memory Module  |  category=industrial  base_price=
menthol_cigarette  |  Menthol Cigarettes  |  category=tobacco  base_price=
merino  |  Merino  |  category=livestock  base_price=
microchip  |  Microchip  |  category=components  base_price=
microscope  |  Microscope  |  category=industrial  base_price=
military_helicopter  |  Military Helicopter  |  category=vehicles  base_price=
